uid,split,label,snr_target,noise_type,sigma,dH0_mean,dH0_std,dH1_mean,dH1_std
fe0a1c6f6a6743d08d95690b6147c460,test,1,2.0,1overf,0.003935746732520607,0.07067843278249104,0.0589014585562777,0.11249566078186035,0.07267558152643101
a590d014fa734b8dadb859650704d7fe,val,1,5.0,1overf,0.0034662437337750346,0.008809837202231089,0.0006546613766971793,0.015133539835611979,0.0012089433415415083
4f38e6e75d994cdcb7a4f62b84ae345c,train,1,10.0,1overf,0.0037364944674845887,0.04254937171936035,0.025301468804362643,0.08339403072992961,0.050248060126015605
bfe6a7a49bac47eaa17d401e6dd2afc7,test,0,6.0,1overf,0.003758455333649433,0.01137310266494751,0.0019171503987781265,0.01572732130686442,0.0010986649699654904
b38a472a1b144b22b300f5c58348a228,test,0,5.0,white,0.004056711752649914,0.11666616797447205,0.11599687339642592,0.08191581567128499,0.04686801869480202
