snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.24074074074074076,-0.7592592592592593,1.0,0.5028293057704822,-0.49717069422951776,0.08291222691925693,0.5506924697480141,0.4677802428287572,0.9090909090909091,0.0,-0.9090909090909091
3.0,23,1.0,0.8538461538461538,-0.1461538461538462,0.9999999999999998,0.9118031765805041,-0.08819682341949564,0.051591784422502555,0.3476076125030765,0.2960158280805739,0.9166666666666666,0.375,-0.5416666666666666
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.01709399563696787,0.1089489053707662,0.09185490973379833,1.0,0.9333333333333333,-0.06666666666666665
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.034645223218795464,0.012951945478406768,-0.021693277740388695,0.9411764705882353,1.0,0.05882352941176472
6.0,21,0.9909090909090909,1.0,0.00909090909090915,0.9909090909090909,0.9999999999999999,0.009090909090909038,0.07081148491275718,0.011811936526609381,-0.0589995483861478,0.9090909090909091,1.0,0.09090909090909094
8.0,19,0.9886363636363636,1.0,0.011363636363636354,0.9861111111111112,1.0,0.01388888888888884,0.16287303306767995,0.039756944088828176,-0.12311608897885176,0.8,0.9411764705882353,0.14117647058823524
10.0,32,0.996078431372549,1.0,0.0039215686274509665,0.9967320261437909,1.0,0.0032679738562091387,0.04496500489923742,0.030141693491762385,-0.014823311407475032,0.9444444444444444,0.9714285714285714,0.026984126984127
