snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.010465879571318159,0.0529710949668482,0.042505215395530045,1.0,0.923076923076923,-0.07692307692307698
3.0,23,1.0,1.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.007252890403322344,0.026314907835204716,0.01906201743188237,1.0,1.0,0.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.0035182938340921183,0.010161334010272144,0.006643040176180025,1.0,1.0,0.0
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.004511313092082197,0.02310059208040828,0.01858927898832608,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.002307855257959759,0.013549841970885722,0.011241986712925964,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.00191292982386835,0.012982661173316363,0.011069731349448013,1.0,1.0,0.0
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,0.0009850649422073908,0.006872257093688979,0.005887192151481588,1.0,1.0,0.0
