snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.20370370370370372,-0.7962962962962963,1.0,0.49165714459832105,-0.5083428554016789,0.08291222691925693,0.5516801967342159,0.46876796981495894,0.9090909090909091,0.0,-0.9090909090909091
3.0,23,1.0,0.8307692307692307,-0.1692307692307693,0.9999999999999998,0.8979536489151871,-0.10204635108481264,0.051591784422502555,0.5284499858865545,0.4768582014640519,0.9166666666666666,0.0,-0.9166666666666666
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.01709399563696787,0.34100908116134565,0.32391508552437775,1.0,0.2222222222222222,-0.7777777777777778
5.0,20,1.0,0.9791666666666666,-0.02083333333333337,1.0,0.9704861111111112,-0.02951388888888884,0.034645223218795464,0.0651634255937695,0.03051820237497404,0.9411764705882353,0.7999999999999999,-0.14117647058823535
6.0,21,0.9909090909090909,1.0,0.00909090909090915,0.9909090909090909,0.9999999999999999,0.009090909090909038,0.07081148491275718,0.020020262225869858,-0.05079122268688732,0.9090909090909091,1.0,0.09090909090909094
8.0,19,0.9886363636363636,1.0,0.011363636363636354,0.9861111111111112,1.0,0.01388888888888884,0.16287303306767995,0.024184489573935885,-0.13868854349374407,0.8,0.9411764705882353,0.14117647058823524
10.0,32,0.996078431372549,1.0,0.0039215686274509665,0.9967320261437909,1.0,0.0032679738562091387,0.04496500489923742,0.026139426634184428,-0.01882557826505299,0.9444444444444444,0.9714285714285714,0.026984126984127
