snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.010465879571318159,0.04364355595072979,0.03317767637941163,1.0,0.9600000000000001,-0.039999999999999925
3.0,23,1.0,1.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.007252890403322344,0.020423477708593884,0.01317058730527154,1.0,1.0,0.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.0035182938340921183,0.00773833461391372,0.004220040779821601,1.0,1.0,0.0
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.004511313092082197,0.017546015779957538,0.01303470268787534,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.002307855257959759,0.009990660889506175,0.007682805631546417,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.00191292982386835,0.009102381387309816,0.007189451563441466,1.0,1.0,0.0
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,0.0009850649422073908,0.004640326513302221,0.00365526157109483,1.0,1.0,0.0
