snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.37962962962962965,-0.6203703703703703,1.0,0.5654761904761904,-0.43452380952380965,0.04553478835978836,0.564359656084656,0.5188248677248677,1.0,0.0,-1.0
3.0,23,1.0,0.8346153846153846,-0.16538461538461535,0.9999999999999998,0.8643756837736769,-0.13562431622632287,0.01516352657004831,0.5356911835748792,0.520527657004831,1.0,0.0,-1.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.0024172619047619056,0.3102468253968254,0.30782956349206353,1.0,0.2222222222222222,-0.7777777777777778
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.01597083333333333,0.036716666666666675,0.020745833333333345,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.026516534391534393,0.004653439153439153,-0.02186309523809524,0.9523809523809523,1.0,0.04761904761904767
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.06400921052631581,0.032591228070175435,-0.03141798245614037,0.888888888888889,0.9411764705882353,0.05228758169934633
10.0,32,1.0,0.9980392156862745,-0.0019607843137254832,1.0,0.9967320261437909,-0.0032679738562091387,0.03435807291666667,0.033982204861111115,-0.00037586805555555464,0.9714285714285714,0.9714285714285714,0.0
