snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.4490740740740741,-0.5509259259259258,1.0,0.5869047619047619,-0.41309523809523807,0.028999206349206344,0.5495845238095239,0.5205853174603176,1.0,0.0,-1.0
3.0,23,1.0,0.8076923076923077,-0.1923076923076923,0.9999999999999998,0.8414344109996283,-0.15856558900037143,0.03536920289855073,0.5167239130434783,0.4813547101449276,0.9600000000000001,0.0,-0.9600000000000001
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.003433928571428573,0.26616527777777776,0.2627313492063492,1.0,0.2222222222222222,-0.7777777777777778
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.014920416666666667,0.03823763888888889,0.023317222222222225,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.012388492063492063,0.01476058201058201,0.0023720899470899472,1.0,0.9523809523809523,-0.04761904761904767
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.06039064327485381,0.02356169590643275,-0.03682894736842106,0.888888888888889,0.9411764705882353,0.05228758169934633
10.0,32,1.0,0.9843137254901961,-0.015686274509803866,1.0,0.9856737793156478,-0.014326220684352187,0.042381423611111115,0.03283689236111111,-0.009544531250000002,0.9444444444444444,0.9714285714285714,0.026984126984127
