snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.4120370370370371,-0.5879629629629629,1.0,0.5511904761904761,-0.4488095238095239,0.04553478835978836,0.5671489417989418,0.5216141534391534,1.0,0.0,-1.0
3.0,23,1.0,0.7923076923076923,-0.20769230769230773,0.9999999999999998,0.8194563890216064,-0.18054361097839333,0.01516352657004831,0.5471777777777779,0.5320142512077296,1.0,0.0,-1.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.0024172619047619056,0.3778402777777778,0.3754230158730159,1.0,0.2222222222222222,-0.7777777777777778
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.01597083333333333,0.10353041666666667,0.08755958333333333,1.0,0.6666666666666666,-0.33333333333333337
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.026516534391534393,0.041155423280423285,0.014638888888888892,0.9523809523809523,0.9473684210526316,-0.005012531328320691
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.06400921052631581,0.021226315789473683,-0.042782894736842124,0.888888888888889,0.9411764705882353,0.05228758169934633
10.0,32,1.0,0.9941176470588236,-0.00588235294117645,1.0,0.9932718185313341,-0.006728181468665939,0.03435807291666667,0.03168845486111111,-0.0026696180555555588,0.9714285714285714,0.9714285714285714,0.0
