snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.9537037037037036,-0.04629629629629639,1.0,0.9614769489769491,-0.03852305102305087,8.39038887337944e-05,0.1602973357952287,0.1602134319064949,1.0,0.6666666666666666,-0.33333333333333337
3.0,23,1.0,1.0,0.0,0.9999999999999998,0.9999999999999998,0.0,3.025343403515222e-05,0.020773454533750096,0.020743201099714944,1.0,1.0,0.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,2.682466386732035e-06,0.00036017261737189435,0.00035749015098516233,1.0,1.0,0.0
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,5.581208570584708e-06,0.0002657000775991512,0.0002601188690285665,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.0,3.952963556227771e-06,8.290826744345387e-05,7.89553038872261e-05,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,6.200919784342239e-06,8.766071565253362e-05,8.145979586819138e-05,1.0,1.0,0.0
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,6.730959660078991e-06,5.4602304525067574e-05,4.787134486498858e-05,1.0,1.0,0.0
