snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.638888888888889,-0.36111111111111105,1.0,0.6708333333333333,-0.3291666666666667,0.024384126984126984,0.5323306878306878,0.5079465608465609,1.0,0.0,-1.0
3.0,23,1.0,0.8846153846153846,-0.11538461538461542,1.0,0.8996655518394647,-0.10033444816053527,0.01370966183574879,0.4971647342995169,0.4834550724637681,1.0,0.0,-1.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.001562698412698413,0.3494730158730159,0.3479103174603175,1.0,0.4,-0.6
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.007107777777777778,0.05311277777777777,0.046005,1.0,0.8571428571428571,-0.1428571428571429
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.003484656084656085,0.011817460317460322,0.008332804232804237,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.022219883040935678,0.005177192982456141,-0.017042690058479536,0.9411764705882353,1.0,0.05882352941176472
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,0.02271145833333333,0.012351041666666668,-0.010360416666666662,0.9714285714285714,0.9714285714285714,0.0
