snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,0.8703703703703705,0.3148148148148148,-0.5555555555555556,0.8924425111925113,0.49163035608469047,-0.4008121551078208,0.21054253129053527,0.5741784923163197,0.36363596102578444,0.7000000000000001,0.0,-0.7000000000000001
3.0,23,1.0,0.4769230769230769,-0.5230769230769231,0.9999999999999998,0.5406598123497592,-0.45934018765024054,0.02838581990252562,0.5629595014974056,0.53457368159488,1.0,0.0,-1.0
4.0,14,1.0,0.7083333333333333,-0.29166666666666674,1.0,0.8526785714285714,-0.1473214285714286,0.011481486565477494,0.40686557136820595,0.39538408480272846,1.0,0.2222222222222222,-0.7777777777777778
5.0,20,0.9895833333333333,0.9479166666666666,-0.04166666666666663,0.9861111111111112,0.906795634920635,-0.07931547619047619,0.1083572854571732,0.08044266088196352,-0.027914624575209684,0.8,0.875,0.07499999999999996
6.0,21,0.9818181818181818,0.9909090909090909,0.009090909090909038,0.9809090909090908,0.9909090909090909,0.010000000000000009,0.09030989716768972,0.03072070002286733,-0.059589197144822394,0.8695652173913044,0.9523809523809523,0.0828157349896479
8.0,19,0.9431818181818181,1.0,0.05681818181818188,0.906795634920635,1.0,0.09320436507936503,0.1187194804771755,0.044613861721256164,-0.07410561875591934,0.8421052631578948,0.9411764705882353,0.09907120743034048
10.0,32,1.0,0.9921568627450981,-0.007843137254901933,1.0,0.9932718185313341,-0.006728181468665939,0.03407916040502492,0.030175502631900903,-0.0039036577731240175,0.9714285714285714,0.9714285714285714,0.0
