snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,1.0,0.0,1.0,1.0,0.0,1.0052910052910061e-05,0.09527513227513226,0.09526507936507936,1.0,0.923076923076923,-0.07692307692307698
3.0,23,1.0,1.0,0.0,1.0,1.0,0.0,4.830917874396136e-07,0.021626570048309174,0.021626086956521733,1.0,1.0,0.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,1.2698412698412651e-05,0.0017928571428571418,0.0017801587301587293,1.0,1.0,0.0
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,2.7222222222222226e-05,0.001001111111111111,0.0009738888888888888,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,1.3756613756613756e-05,4.761904761904762e-06,-8.994708994708994e-06,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,2.923976608187135e-06,5.84795321637427e-07,-2.339181286549708e-06,1.0,1.0,0.0
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,3.4722222222221514e-07,0.0,-3.4722222222221514e-07,1.0,1.0,0.0
