snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.9444444444444444,-0.05555555555555558,1.0,0.9510602823102824,-0.04893971768971761,8.39038887337944e-05,0.21499668824737816,0.21491278435864436,1.0,0.2857142857142857,-0.7142857142857143
3.0,23,1.0,1.0,0.0,0.9999999999999998,0.9999999999999998,0.0,3.025343403515222e-05,0.05683472465781191,0.05680447122377676,1.0,0.8695652173913044,-0.13043478260869557
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,2.682466386732035e-06,0.004199932868160402,0.00419725040177367,1.0,1.0,0.0
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,5.581208570584708e-06,0.0006865426977625756,0.000680961489191991,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.0,3.952963556227771e-06,0.00020781333107987513,0.00020386036752364736,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,6.200919784342239e-06,0.0001616140216274658,0.00015541310184312356,1.0,1.0,0.0
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,6.730959660078991e-06,9.341548621991165e-05,8.668452655983265e-05,1.0,1.0,0.0
