snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,0.9444444444444444,0.2777777777777778,-0.6666666666666666,0.9510602823102824,0.5280679585149399,-0.42299232379534246,0.12136139151084054,0.5367574470254607,0.41539605551462017,0.761904761904762,0.0,-0.761904761904762
3.0,23,0.976923076923077,0.7153846153846154,-0.2615384615384616,0.9821780783319243,0.8387030091307506,-0.1434750692011737,0.08330848899720512,0.49229622158630193,0.4089877325890968,0.8695652173913044,0.0,-0.8695652173913044
4.0,14,1.0,0.7916666666666667,-0.20833333333333326,1.0,0.900974025974026,-0.09902597402597402,0.13590217313237302,0.36414589259511315,0.22824371946274014,0.6666666666666666,0.4,-0.2666666666666666
5.0,20,1.0,0.9895833333333333,-0.01041666666666674,1.0,0.9861111111111112,-0.01388888888888884,0.020522236613243917,0.06161050057600882,0.04108826396276491,0.9411764705882353,0.9333333333333333,-0.007843137254901933
6.0,21,0.9909090909090909,1.0,0.00909090909090915,0.9909090909090909,0.9999999999999999,0.009090909090909038,0.04784739637501806,0.013035934264860964,-0.03481146211015709,0.9523809523809523,1.0,0.04761904761904767
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.06507508953869094,0.001151360295715798,-0.06392372924297514,0.888888888888889,1.0,0.11111111111111105
10.0,32,0.9921568627450981,1.0,0.007843137254901933,0.9932718185313341,1.0,0.006728181468665939,0.03612205806626832,0.020170975425162278,-0.015951082641106045,0.9714285714285714,0.9714285714285714,0.0
