snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,1.0,0.0,1.0,1.0,0.0,1.0052910052910061e-05,0.10758624338624341,0.1075761904761905,1.0,0.9600000000000001,-0.039999999999999925
3.0,23,1.0,1.0,0.0,1.0,1.0,0.0,4.830917874396136e-07,0.04870144927536231,0.04870096618357487,1.0,1.0,0.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,1.2698412698412651e-05,0.005749206349206349,0.005736507936507936,1.0,1.0,0.0
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,2.7222222222222226e-05,0.0048222222222222225,0.004795000000000001,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,1.3756613756613756e-05,0.000893121693121693,0.0008793650793650793,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,2.923976608187135e-06,0.0009836257309941518,0.0009807017543859648,1.0,1.0,0.0
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,3.4722222222221514e-07,6.944444444444375e-07,3.4722222222222234e-07,1.0,1.0,0.0
