snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.41666666666666674,-0.5833333333333333,1.0,0.5595238095238094,-0.4404761904761906,0.028999206349206344,0.561202380952381,0.5322031746031746,1.0,0.0,-1.0
3.0,23,1.0,0.8423076923076922,-0.1576923076923078,0.9999999999999998,0.8678862200601332,-0.13211377993986662,0.03536920289855073,0.5380797101449275,0.5027105072463768,0.9600000000000001,0.0,-0.9600000000000001
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.003433928571428573,0.35875079365079365,0.3553168650793651,1.0,0.2222222222222222,-0.7777777777777778
5.0,20,1.0,0.9479166666666667,-0.05208333333333326,1.0,0.906795634920635,-0.09320436507936503,0.014920416666666667,0.12491486111111112,0.10999444444444445,1.0,0.5454545454545454,-0.4545454545454546
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.012388492063492063,0.02400357142857143,0.011615079365079366,1.0,0.9523809523809523,-0.04761904761904767
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.06039064327485381,0.008497222222222224,-0.05189342105263158,0.888888888888889,1.0,0.11111111111111105
10.0,32,1.0,0.9843137254901961,-0.015686274509803866,1.0,0.9856737793156478,-0.014326220684352187,0.042381423611111115,0.03152178819444444,-0.010859635416666673,0.9444444444444444,0.9714285714285714,0.026984126984127
