snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,0.8703703703703705,0.2962962962962963,-0.5740740740740742,0.8924425111925113,0.48640159791475585,-0.40604091327775543,0.21054253129053527,0.5889218714467581,0.3783793401562229,0.7000000000000001,0.0,-0.7000000000000001
3.0,23,1.0,0.3,-0.7,0.9999999999999998,0.49379052170814186,-0.5062094782918579,0.02838581990252562,0.562206889122015,0.5338210692194894,1.0,0.0,-1.0
4.0,14,1.0,0.7291666666666666,-0.27083333333333337,1.0,0.8708791208791209,-0.1291208791208791,0.011481486565477494,0.358146796987491,0.34666531042201354,1.0,0.4,-0.6
5.0,20,0.9895833333333333,0.96875,-0.02083333333333326,0.9861111111111112,0.9526289682539683,-0.033482142857142905,0.1083572854571732,0.053672450742044776,-0.05468483471512842,0.8,0.9411764705882353,0.14117647058823524
6.0,21,0.9818181818181818,1.0,0.018181818181818188,0.9809090909090908,0.9999999999999999,0.019090909090909047,0.09030989716768972,0.03216048527008689,-0.05814941189760283,0.8695652173913044,0.9523809523809523,0.0828157349896479
8.0,19,0.9431818181818181,1.0,0.05681818181818188,0.906795634920635,1.0,0.09320436507936503,0.1187194804771755,0.04765833066389194,-0.07106114981328356,0.8421052631578948,0.9411764705882353,0.09907120743034048
10.0,32,1.0,0.9843137254901961,-0.015686274509803866,1.0,0.9856737793156478,-0.014326220684352187,0.03407916040502492,0.029930615061883055,-0.004148545343141866,0.9714285714285714,0.9714285714285714,0.0
