snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,0.9166666666666666,0.42592592592592593,-0.4907407407407407,0.9085999648499649,0.6053238367383105,-0.3032761281116544,0.09859581082185599,0.5237928694506787,0.42519705862882273,0.9166666666666666,0.15384615384615385,-0.7628205128205128
3.0,23,0.9692307692307693,0.2692307692307693,-0.7000000000000001,0.9774161735700195,0.5649335943218027,-0.41248257924821685,0.06680817975102185,0.5649768491091063,0.49816866935808446,0.8333333333333333,0.0,-0.8333333333333333
4.0,14,1.0,0.7291666666666666,-0.27083333333333337,1.0,0.8581730769230769,-0.14182692307692313,0.12592921817314334,0.44886551830415844,0.3229363001310151,0.7692307692307693,0.2222222222222222,-0.5470085470085471
5.0,20,0.96875,0.96875,0.0,0.9659090909090909,0.9526289682539683,-0.013280122655122684,0.06554340962903546,0.2294992876647936,0.16395587803575815,0.875,0.5454545454545454,-0.3295454545454546
6.0,21,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.01882281974746618,0.05812647340488122,0.03930365365741503,1.0,0.9473684210526316,-0.05263157894736836
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.07501684132754025,2.9538678853370527e-06,-0.07501388745965491,0.9411764705882353,1.0,0.05882352941176472
10.0,32,0.996078431372549,1.0,0.0039215686274509665,0.9967320261437909,1.0,0.0032679738562091387,0.04107888707799637,4.235992131481045e-06,-0.04107465108586489,0.9714285714285714,1.0,0.02857142857142858
