snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,0.9166666666666666,0.36111111111111116,-0.5555555555555555,0.9085999648499649,0.5610613515025279,-0.34753861334743696,0.09859581082185599,0.5238078989314635,0.42521208810960753,0.9166666666666666,0.15384615384615385,-0.7628205128205128
3.0,23,0.9692307692307693,0.4230769230769231,-0.5461538461538462,0.9774161735700195,0.6148965484643234,-0.36251962510569613,0.06680817975102185,0.5413794623416506,0.47457128259062875,0.8333333333333333,0.0,-0.8333333333333333
4.0,14,1.0,0.9375,-0.0625,1.0,0.9659090909090909,-0.03409090909090906,0.12592921817314334,0.43602097650094696,0.3100917583278036,0.7692307692307693,0.2222222222222222,-0.5470085470085471
5.0,20,0.96875,0.9895833333333333,0.02083333333333326,0.9659090909090909,0.9861111111111112,0.02020202020202022,0.06554340962903546,0.07264726394773538,0.00710385431869992,0.875,0.8571428571428571,-0.017857142857142905
6.0,21,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.01882281974746618,0.0065424628528775374,-0.012280356894588642,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.07501684132754025,4.281906712364795e-07,-0.075016413136869,0.9411764705882353,1.0,0.05882352941176472
10.0,32,0.996078431372549,1.0,0.0039215686274509665,0.9967320261437909,1.0,0.0032679738562091387,0.04107888707799637,0.00018725749781055382,-0.040891629580185815,0.9714285714285714,1.0,0.02857142857142858
