snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.7268518518518519,-0.27314814814814814,1.0,0.7389880952380953,-0.2610119047619047,0.024384126984126984,0.5347687830687831,0.5103846560846561,1.0,0.0,-1.0
3.0,23,1.0,0.8884615384615385,-0.11153846153846148,1.0,0.9212760483663491,-0.07872395163365087,0.01370966183574879,0.5089115942028986,0.49520193236714977,1.0,0.0,-1.0
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.001562698412698413,0.4049698412698413,0.4034071428571429,1.0,0.2222222222222222,-0.7777777777777778
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.007107777777777778,0.09006833333333333,0.08296055555555555,1.0,0.7692307692307693,-0.23076923076923073
6.0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.003484656084656085,0.032898941798941796,0.029414285714285712,1.0,0.9473684210526316,-0.05263157894736836
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.022219883040935678,0.0031304093567251466,-0.01908947368421053,0.9411764705882353,1.0,0.05882352941176472
10.0,32,1.0,1.0,0.0,1.0,1.0,0.0,0.02271145833333333,0.018392361111111113,-0.004319097222222217,0.9714285714285714,0.9714285714285714,0.0
