snr,n,auc_base,auc_high,delta_auc,ap_base,ap_high,delta_ap,brier_base,brier_high,delta_brier,f1_base,f1_high,delta_f1
2.0,21,1.0,0.1851851851851852,-0.8148148148148148,1.0,0.497923334620316,-0.502076665379684,0.005334822492143467,0.5233025372271063,0.5179677147349628,1.0,0.15384615384615385,-0.8461538461538461
3.0,23,1.0,0.7,-0.30000000000000004,0.9999999999999998,0.8585228653878538,-0.14147713461214595,0.005383533538397026,0.2635774848590049,0.25819395132060785,1.0,0.631578947368421,-0.368421052631579
4.0,14,1.0,1.0,0.0,1.0,1.0,0.0,0.00010077800533543633,0.02684932340893666,0.026748545403601224,1.0,0.9333333333333333,-0.06666666666666665
5.0,20,1.0,1.0,0.0,1.0,1.0,0.0,0.0004512826832433251,0.0020757502415437988,0.0016244675583004737,1.0,1.0,0.0
6.0,21,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0011555914903286517,0.00012641285985918958,-0.0010291786304694622,1.0,1.0,0.0
8.0,19,1.0,1.0,0.0,1.0,1.0,0.0,0.01303073885426166,0.011263308454819838,-0.001767430399441822,1.0,1.0,0.0
10.0,32,0.996078431372549,1.0,0.0039215686274509665,0.9967320261437909,1.0,0.0032679738562091387,0.028390040633376946,0.026201501429341894,-0.0021885392040350525,0.9444444444444444,0.9714285714285714,0.026984126984127
