homology,birth_min,birth_max,pers_min,pers_max,birth_center,pers_center,weight
H0,-0.08442377090454102,0.0033769508361816414,0.0,0.08258648295402526,-0.04052341003417969,0.04129324147701263,0.0
H0,0.0033769508361816414,0.0911776725769043,0.0,0.08258648295402526,0.04727731170654297,0.04129324147701263,0.0
H0,0.0911776725769043,0.17897839431762697,0.0,0.08258648295402526,0.13507803344726563,0.04129324147701263,0.0
H0,0.17897839431762697,0.26677911605834964,0.0,0.08258648295402526,0.2228787551879883,0.04129324147701263,0.0
H0,0.26677911605834964,0.3545798377990723,0.0,0.08258648295402526,0.310679476928711,0.04129324147701263,0.0
H0,0.3545798377990723,0.44238055953979494,0.0,0.08258648295402526,0.3984801986694336,0.04129324147701263,0.0
H0,0.44238055953979494,0.5301812812805177,0.0,0.08258648295402526,0.4862809204101563,0.04129324147701263,0.0
H0,0.5301812812805177,0.6179820030212403,0.0,0.08258648295402526,0.574081642150879,0.04129324147701263,0.0
H0,0.6179820030212403,0.7057827247619629,0.0,0.08258648295402526,0.6618823638916016,0.04129324147701263,0.0
H0,0.7057827247619629,0.7935834465026856,0.0,0.08258648295402526,0.7496830856323242,0.04129324147701263,0.0
H0,0.7935834465026856,0.8813841682434083,0.0,0.08258648295402526,0.837483807373047,0.04129324147701263,0.0
H0,0.8813841682434083,0.9691848899841309,0.0,0.08258648295402526,0.9252845291137696,0.04129324147701263,0.0
H0,0.9691848899841309,1.0569856117248535,0.0,0.08258648295402526,1.013085250854492,0.04129324147701263,0.0
H0,1.0569856117248535,1.1447863334655763,0.0,0.08258648295402526,1.100885972595215,0.04129324147701263,0.0
H0,1.1447863334655763,1.232587055206299,0.0,0.08258648295402526,1.1886866943359378,0.04129324147701263,0.0
H0,1.232587055206299,1.3203877769470216,0.0,0.08258648295402526,1.2764874160766602,0.04129324147701263,0.0
H0,1.3203877769470216,1.4081884986877442,0.0,0.08258648295402526,1.364288137817383,0.04129324147701263,0.0
H0,1.4081884986877442,1.4959892204284668,0.0,0.08258648295402526,1.4520888595581054,0.04129324147701263,0.0
H0,1.4959892204284668,1.5837899421691897,0.0,0.08258648295402526,1.5398895812988282,0.04129324147701263,0.0
H0,1.5837899421691897,1.6715906639099123,0.0,0.08258648295402526,1.627690303039551,0.04129324147701263,0.0
H0,1.6715906639099123,1.759391385650635,0.0,0.08258648295402526,1.7154910247802735,0.04129324147701263,0.0
H0,1.759391385650635,1.8471921073913575,0.0,0.08258648295402526,1.8032917465209963,0.04129324147701263,0.0
H0,1.8471921073913575,1.9349928291320804,0.0,0.08258648295402526,1.891092468261719,0.04129324147701263,0.0
H0,1.9349928291320804,2.0227935508728025,0.0,0.08258648295402526,1.9788931900024416,0.04129324147701263,0.0
H0,2.0227935508728025,2.1105942726135254,0.0,0.08258648295402526,2.066693911743164,0.04129324147701263,0.0
H0,2.1105942726135254,2.198394994354248,0.0,0.08258648295402526,2.1544946334838864,0.04129324147701263,0.0
H0,2.198394994354248,2.2861957160949706,0.0,0.08258648295402526,2.242295355224609,0.04129324147701263,0.0
H0,2.2861957160949706,2.3739964378356935,0.0,0.08258648295402526,2.330096076965332,0.04129324147701263,0.0
H0,2.3739964378356935,2.461797159576416,0.0,0.08258648295402526,2.417896798706055,0.04129324147701263,0.0
H0,2.461797159576416,2.5495978813171387,0.0,0.08258648295402526,2.5056975204467773,0.04129324147701263,0.0
H0,2.5495978813171387,2.637398603057861,0.0,0.08258648295402526,2.5934982421874997,0.04129324147701263,0.0
