sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.14776313863585666,,,,0.13825232630749903,
0.9,1.0,,,0.15675289204914938,,,,0.14724207972079176,
0.9,1.1,,,0.1895803074311992,,,,0.18006949510284156,
1.0,0.9,,,0.11408616811116201,,,,0.1045753557828044,
1.0,1.0,,,0.1040244453047027,,,,0.09451363297634509,
1.0,1.1,,,0.13187551157774632,,,,0.12236469924938871,
1.1,0.9,,,0.17284848241884837,,,,0.16333767009049074,
1.1,1.0,,,0.14902254579942317,,,,0.13951173347106555,
1.1,1.1,,,0.16400717416313687,,,,0.15449636183477924,
