sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.052682740740740745,,,,0.022477870370370374,
0.9,1.0,,,0.05826916666666667,,,,0.0280642962962963,
0.9,1.1,,,0.07297631481481481,,,,0.042771444444444445,
1.0,0.9,,,0.025650925925925928,,,,-0.004553944444444444,
1.0,1.0,,,0.031580166666666666,,,,0.0013752962962962946,
1.0,1.1,,,0.04399237037037037,,,,0.013787499999999998,
1.1,0.9,,,0.05410831481481482,,,,0.023903444444444446,
1.1,1.0,,,0.061175851851851856,,,,0.030970981481481485,
1.1,1.1,,,0.06937075925925926,,,,0.03916588888888889,
