sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.06802074074074074,,,,0.037802444444444444,
0.9,1.0,,,0.07824433333333335,,,,0.04802603703703705,
0.9,1.1,,,0.09625298148148148,,,,0.06603468518518518,
1.0,0.9,,,0.026374537037037037,,,,-0.003843759259259262,
1.0,1.0,,,0.03349612962962963,,,,0.003277833333333334,
1.0,1.1,,,0.046690944444444445,,,,0.016472648148148146,
1.1,0.9,,,0.0493765925925926,,,,0.0191582962962963,
1.1,1.0,,,0.05233331481481481,,,,0.022115018518518513,
1.1,1.1,,,0.06098074074074074,,,,0.03076244444444444,
