sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.34382466666666667,,,,0.3290677037037037,
0.9,1.0,,,0.3426285925925926,,,,0.3278716296296296,
0.9,1.1,,,0.3393615555555555,,,,0.32460459259259256,
1.0,0.9,,,0.3292908148148148,,,,0.31453385185185184,
1.0,1.0,,,0.3275022962962963,,,,0.3127453333333333,
1.0,1.1,,,0.32678762962962965,,,,0.3120306666666667,
1.1,0.9,,,0.30823725925925927,,,,0.2934802962962963,
1.1,1.0,,,0.30684385185185187,,,,0.2920868888888889,
1.1,1.1,,,0.3065925925925926,,,,0.2918356296296296,
