sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.1052454744922968,,,,0.039375493301997966,
0.9,1.0,,,0.10499471167129389,,,,0.039124730480995046,
0.9,1.1,,,0.1155255764144981,,,,0.04965559522419925,
1.0,0.9,,,0.06254951006484315,,,,-0.003320471125455693,
1.0,1.0,,,0.06910107011073963,,,,0.003231088920440786,
1.0,1.1,,,0.08476350073237426,,,,0.018893519542075424,
1.1,0.9,,,0.09116827403451756,,,,0.025298292844218723,
1.1,1.0,,,0.08689657884223924,,,,0.0210265976519404,
1.1,1.1,,,0.1105942891820272,,,,0.04472430799172836,
