sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.3903514130780909,,,,0.3225188296913405,
0.9,1.0,,,0.3948351504966368,,,,0.3270025671098864,
0.9,1.1,,,0.3937347673873758,,,,0.3259021840006254,
1.0,0.9,,,0.3786333873824469,,,,0.3108008039956965,
1.0,1.0,,,0.38275565825742,,,,0.31492307487066956,
1.0,1.1,,,0.38266202882187467,,,,0.31482944543512426,
1.1,0.9,,,0.37837943815448194,,,,0.31054685476773153,
1.1,1.0,,,0.37848071474072836,,,,0.31064813135397795,
1.1,1.1,,,0.3765236812012863,,,,0.3086910978145359,
