sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.11242271564970684,,,,0.02812361805991953,
0.9,1.0,,,0.10648715805896918,,,,0.02218806046918187,
0.9,1.1,,,0.11121090146985653,,,,0.026911803880069224,
1.0,0.9,,,0.09016650827399589,,,,0.005867410684208582,
1.0,1.0,,,0.09532170071397356,,,,0.01102260312418625,
1.0,1.1,,,0.10503582699741364,,,,0.02073672940762633,
1.1,0.9,,,0.1150727900414933,,,,0.030773692451705997,
1.1,1.0,,,0.11535492550481898,,,,0.03105582791503167,
1.1,1.1,,,0.11849623357404804,,,,0.03419713598426073,
