sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.24531780016031632,,,,0.1798771268606288,
0.9,1.0,,,0.2566416766432983,,,,0.19120100334361073,
0.9,1.1,,,0.25084082274662406,,,,0.1854001494469365,
1.0,0.9,,,0.3420913691242597,,,,0.27665069582457213,
1.0,1.0,,,0.3544200021440192,,,,0.28897932884433164,
1.0,1.1,,,0.3463302893363222,,,,0.28088961603663465,
1.1,0.9,,,0.44815684790808974,,,,0.3827161746084022,
1.1,1.0,,,0.4544437407715475,,,,0.3890030674718599,
1.1,1.1,,,0.4538801085605378,,,,0.38843943526085023,
