sm,st,auc,ap,brier,f1,delta_auc,delta_ap,delta_brier,delta_f1
0.9,0.9,,,0.09568152920252522,,,,0.03883554783433564,
0.9,1.0,,,0.0856946988513063,,,,0.028848717483116723,
0.9,1.1,,,0.09087520536326338,,,,0.0340292239950738,
1.0,0.9,,,0.07151576314299976,,,,0.014669781774810181,
1.0,1.0,,,0.06263042550744274,,,,0.005784444139253164,
1.0,1.1,,,0.069337953330355,,,,0.012491971962165421,
1.1,0.9,,,0.1319706371674403,,,,0.07512465579925073,
1.1,1.0,,,0.10273989626481676,,,,0.04589391489662718,
1.1,1.1,,,0.12369896863194758,,,,0.066852987263758,
